experiment,seed,num_states,num_inputs,state_dim,input_dim,register_type,transition_accuracy,mean_abs_overlap
exp01_transition_accuracy,0,4,2,64,16,nearest,1.0,0.109375
exp01_transition_accuracy,0,4,2,64,16,hopfield,1.0,0.109375
exp01_transition_accuracy,0,4,2,128,16,nearest,1.0,0.059895833333333336
exp01_transition_accuracy,0,4,2,128,16,hopfield,1.0,0.059895833333333336
exp01_transition_accuracy,0,4,2,256,16,nearest,1.0,0.055989583333333336
exp01_transition_accuracy,0,4,2,256,16,hopfield,1.0,0.055989583333333336
exp01_transition_accuracy,0,4,2,512,16,nearest,1.0,0.0234375
exp01_transition_accuracy,0,4,2,512,16,hopfield,1.0,0.0234375
exp01_transition_accuracy,0,4,4,64,16,nearest,1.0,0.08854166666666667
exp01_transition_accuracy,0,4,4,64,16,hopfield,1.0,0.08854166666666667
exp01_transition_accuracy,0,4,4,128,16,nearest,1.0,0.046875
exp01_transition_accuracy,0,4,4,128,16,hopfield,1.0,0.046875
exp01_transition_accuracy,0,4,4,256,16,nearest,1.0,0.061197916666666664
exp01_transition_accuracy,0,4,4,256,16,hopfield,1.0,0.061197916666666664
exp01_transition_accuracy,0,4,4,512,16,nearest,1.0,0.025390625
exp01_transition_accuracy,0,4,4,512,16,hopfield,1.0,0.025390625
exp01_transition_accuracy,0,4,8,64,16,nearest,1.0,0.07291666666666667
exp01_transition_accuracy,0,4,8,64,16,hopfield,1.0,0.07291666666666667
exp01_transition_accuracy,0,4,8,128,16,nearest,1.0,0.049479166666666664
exp01_transition_accuracy,0,4,8,128,16,hopfield,1.0,0.049479166666666664
exp01_transition_accuracy,0,4,8,256,16,nearest,1.0,0.07161458333333333
exp01_transition_accuracy,0,4,8,256,16,hopfield,1.0,0.07161458333333333
exp01_transition_accuracy,0,4,8,512,16,nearest,1.0,0.029947916666666668
exp01_transition_accuracy,0,4,8,512,16,hopfield,1.0,0.029947916666666668
exp01_transition_accuracy,0,8,2,64,16,nearest,1.0,0.08035714285714286
exp01_transition_accuracy,0,8,2,64,16,hopfield,1.0,0.08035714285714286
exp01_transition_accuracy,0,8,2,128,16,nearest,1.0,0.06529017857142858
exp01_transition_accuracy,0,8,2,128,16,hopfield,1.0,0.06529017857142858
exp01_transition_accuracy,0,8,2,256,16,nearest,1.0,0.05608258928571429
exp01_transition_accuracy,0,8,2,256,16,hopfield,1.0,0.05608258928571429
exp01_transition_accuracy,0,8,2,512,16,nearest,1.0,0.03208705357142857
exp01_transition_accuracy,0,8,2,512,16,hopfield,1.0,0.03208705357142857
exp01_transition_accuracy,0,8,4,64,16,nearest,1.0,0.1015625
exp01_transition_accuracy,0,8,4,64,16,hopfield,1.0,0.1015625
exp01_transition_accuracy,0,8,4,128,16,nearest,1.0,0.07087053571428571
exp01_transition_accuracy,0,8,4,128,16,hopfield,1.0,0.07087053571428571
exp01_transition_accuracy,0,8,4,256,16,nearest,1.0,0.0625
exp01_transition_accuracy,0,8,4,256,16,hopfield,1.0,0.0625
exp01_transition_accuracy,0,8,4,512,16,nearest,1.0,0.035853794642857144
exp01_transition_accuracy,0,8,4,512,16,hopfield,1.0,0.035853794642857144
