experiment,seed,state_dim,num_states,capacity_ratio,register_type,flip_fraction,recovery_accuracy,mean_abs_overlap
exp03_capacity,0,64,3,0.05,nearest,0.1,1.0,0.0625
exp03_capacity,0,64,3,0.05,hopfield,0.1,1.0,0.0625
exp03_capacity,0,64,8,0.138,nearest,0.1,1.0,0.0859375
exp03_capacity,0,64,8,0.138,hopfield,0.1,1.0,0.0859375
exp03_capacity,0,64,19,0.3,nearest,0.1,1.0,0.09868421052631579
exp03_capacity,0,64,19,0.3,hopfield,0.1,0.7052631578947368,0.09868421052631579
exp03_capacity,0,128,6,0.05,nearest,0.1,1.0,0.051041666666666666
exp03_capacity,0,128,6,0.05,hopfield,0.1,1.0,0.051041666666666666
exp03_capacity,0,128,17,0.138,nearest,0.1,1.0,0.06916360294117647
exp03_capacity,0,128,17,0.138,hopfield,0.1,1.0,0.06916360294117647
exp03_capacity,0,128,38,0.3,nearest,0.1,1.0,0.07176831436699858
exp03_capacity,0,128,38,0.3,hopfield,0.1,0.6473684210526316,0.07176831436699858
exp03_capacity,1,64,3,0.05,nearest,0.1,1.0,0.125
exp03_capacity,1,64,3,0.05,hopfield,0.1,1.0,0.125
exp03_capacity,1,64,8,0.138,nearest,0.1,1.0,0.10044642857142858
exp03_capacity,1,64,8,0.138,hopfield,0.1,1.0,0.10044642857142858
exp03_capacity,1,64,19,0.3,nearest,0.1,1.0,0.10014619883040936
exp03_capacity,1,64,19,0.3,hopfield,0.1,0.5894736842105263,0.10014619883040936
exp03_capacity,1,128,6,0.05,nearest,0.1,1.0,0.08229166666666667
exp03_capacity,1,128,6,0.05,hopfield,0.1,1.0,0.08229166666666667
exp03_capacity,1,128,17,0.138,nearest,0.1,1.0,0.07490808823529412
exp03_capacity,1,128,17,0.138,hopfield,0.1,1.0,0.07490808823529412
exp03_capacity,1,128,38,0.3,nearest,0.1,1.0,0.06812322190611664
exp03_capacity,1,128,38,0.3,hopfield,0.1,0.6684210526315789,0.06812322190611664
