experiment,seed,num_states,num_inputs,state_dim,input_dim,register_type,write_fraction,mode,sparse_transition_accuracy,mean_abs_overlap
exp04_sparse_transitions,0,8,4,128,16,nearest,0.1,keep_current,0.125,0.07087053571428571
exp04_sparse_transitions,0,8,4,128,16,nearest,0.3,keep_current,0.125,0.07087053571428571
exp04_sparse_transitions,0,8,4,128,16,nearest,1.0,keep_current,1.0,0.07087053571428571
exp04_sparse_transitions,0,8,4,128,16,nearest,0.1,random_noise,0.34375,0.07087053571428571
exp04_sparse_transitions,0,8,4,128,16,nearest,0.3,random_noise,0.96875,0.07087053571428571
exp04_sparse_transitions,0,8,4,128,16,nearest,1.0,random_noise,1.0,0.07087053571428571
exp04_sparse_transitions,0,8,4,128,16,hopfield,0.1,keep_current,0.125,0.07087053571428571
exp04_sparse_transitions,0,8,4,128,16,hopfield,0.3,keep_current,0.125,0.07087053571428571
exp04_sparse_transitions,0,8,4,128,16,hopfield,1.0,keep_current,1.0,0.07087053571428571
exp04_sparse_transitions,0,8,4,128,16,hopfield,0.1,random_noise,0.28125,0.07087053571428571
exp04_sparse_transitions,0,8,4,128,16,hopfield,0.3,random_noise,0.78125,0.07087053571428571
exp04_sparse_transitions,0,8,4,128,16,hopfield,1.0,random_noise,1.0,0.07087053571428571
exp04_sparse_transitions,0,8,4,256,16,nearest,0.1,keep_current,0.125,0.0625
exp04_sparse_transitions,0,8,4,256,16,nearest,0.3,keep_current,0.125,0.0625
exp04_sparse_transitions,0,8,4,256,16,nearest,1.0,keep_current,1.0,0.0625
exp04_sparse_transitions,0,8,4,256,16,nearest,0.1,random_noise,0.5625,0.0625
exp04_sparse_transitions,0,8,4,256,16,nearest,0.3,random_noise,1.0,0.0625
exp04_sparse_transitions,0,8,4,256,16,nearest,1.0,random_noise,1.0,0.0625
exp04_sparse_transitions,0,8,4,256,16,hopfield,0.1,keep_current,0.125,0.0625
exp04_sparse_transitions,0,8,4,256,16,hopfield,0.3,keep_current,0.125,0.0625
exp04_sparse_transitions,0,8,4,256,16,hopfield,1.0,keep_current,1.0,0.0625
exp04_sparse_transitions,0,8,4,256,16,hopfield,0.1,random_noise,0.4375,0.0625
exp04_sparse_transitions,0,8,4,256,16,hopfield,0.3,random_noise,0.90625,0.0625
exp04_sparse_transitions,0,8,4,256,16,hopfield,1.0,random_noise,1.0,0.0625
exp04_sparse_transitions,1,8,4,128,16,nearest,0.1,keep_current,0.1875,0.07868303571428571
exp04_sparse_transitions,1,8,4,128,16,nearest,0.3,keep_current,0.1875,0.07868303571428571
exp04_sparse_transitions,1,8,4,128,16,nearest,1.0,keep_current,1.0,0.07868303571428571
exp04_sparse_transitions,1,8,4,128,16,nearest,0.1,random_noise,0.40625,0.07868303571428571
exp04_sparse_transitions,1,8,4,128,16,nearest,0.3,random_noise,1.0,0.07868303571428571
exp04_sparse_transitions,1,8,4,128,16,nearest,1.0,random_noise,1.0,0.07868303571428571
exp04_sparse_transitions,1,8,4,128,16,hopfield,0.1,keep_current,0.1875,0.07868303571428571
exp04_sparse_transitions,1,8,4,128,16,hopfield,0.3,keep_current,0.1875,0.07868303571428571
exp04_sparse_transitions,1,8,4,128,16,hopfield,1.0,keep_current,1.0,0.07868303571428571
exp04_sparse_transitions,1,8,4,128,16,hopfield,0.1,random_noise,0.375,0.07868303571428571
exp04_sparse_transitions,1,8,4,128,16,hopfield,0.3,random_noise,0.875,0.07868303571428571
exp04_sparse_transitions,1,8,4,128,16,hopfield,1.0,random_noise,1.0,0.07868303571428571
exp04_sparse_transitions,1,8,4,256,16,nearest,0.1,keep_current,0.1875,0.041294642857142856
exp04_sparse_transitions,1,8,4,256,16,nearest,0.3,keep_current,0.1875,0.041294642857142856
exp04_sparse_transitions,1,8,4,256,16,nearest,1.0,keep_current,1.0,0.041294642857142856
exp04_sparse_transitions,1,8,4,256,16,nearest,0.1,random_noise,0.625,0.041294642857142856
exp04_sparse_transitions,1,8,4,256,16,nearest,0.3,random_noise,1.0,0.041294642857142856
exp04_sparse_transitions,1,8,4,256,16,nearest,1.0,random_noise,1.0,0.041294642857142856
exp04_sparse_transitions,1,8,4,256,16,hopfield,0.1,keep_current,0.1875,0.041294642857142856
exp04_sparse_transitions,1,8,4,256,16,hopfield,0.3,keep_current,0.1875,0.041294642857142856
exp04_sparse_transitions,1,8,4,256,16,hopfield,1.0,keep_current,1.0,0.041294642857142856
exp04_sparse_transitions,1,8,4,256,16,hopfield,0.1,random_noise,0.59375,0.041294642857142856
exp04_sparse_transitions,1,8,4,256,16,hopfield,0.3,random_noise,1.0,0.041294642857142856
exp04_sparse_transitions,1,8,4,256,16,hopfield,1.0,random_noise,1.0,0.041294642857142856
