experiment,seed,case_name,sequence,final_state,expected_state,success,payload_id,descriptor,corruption_rate,num_trials,operation_success_rate,content_success_rate
exp05_descriptor_payload,0,same_payload_store,STORE payload,STORED,STORED,True,p1,STORE,,,,
exp05_descriptor_payload,0,same_payload_compare,STORE payload COMPARE payload,COMPARE_TRUE,COMPARE_TRUE,True,p1,COMPARE,,,,
exp05_descriptor_payload,0,same_descriptor_store_p1,STORE payload,STORED,STORED,True,p1,STORE,,,,
exp05_descriptor_payload,0,same_descriptor_store_p2,STORE payload,STORED,STORED,True,p2,STORE,,,,
exp05_descriptor_payload,0,missing_descriptor,payload,ERROR,ERROR,True,p1,,,,,
exp05_descriptor_payload,0,wrong_content_compare,STORE payload COMPARE payload,COMPARE_FALSE,COMPARE_FALSE,True,p2,COMPARE,,,,
exp05_descriptor_payload,0,descriptor_corruption,STORE payload then corrupted COMPARE payload,,COMPARE_TRUE,,p1,COMPARE,0.0,500.0,1.0,1.0
exp05_descriptor_payload,0,descriptor_corruption,STORE payload then corrupted COMPARE payload,,COMPARE_TRUE,,p1,COMPARE,0.05,500.0,0.946,0.946
exp05_descriptor_payload,0,descriptor_corruption,STORE payload then corrupted COMPARE payload,,COMPARE_TRUE,,p1,COMPARE,0.1,500.0,0.904,0.904
exp05_descriptor_payload,0,descriptor_corruption,STORE payload then corrupted COMPARE payload,,COMPARE_TRUE,,p1,COMPARE,0.2,500.0,0.792,0.792
exp05_descriptor_payload,0,descriptor_corruption,STORE payload then corrupted COMPARE payload,,COMPARE_TRUE,,p1,COMPARE,0.3,500.0,0.716,0.716
exp05_descriptor_payload,0,descriptor_corruption,STORE payload then corrupted COMPARE payload,,COMPARE_TRUE,,p1,COMPARE,0.5,500.0,0.516,0.516
exp05_descriptor_payload,0,descriptor_corruption,STORE payload then corrupted COMPARE payload,,COMPARE_TRUE,,p1,COMPARE,0.75,500.0,0.264,0.264
exp05_descriptor_payload,0,descriptor_corruption,STORE payload then corrupted COMPARE payload,,COMPARE_TRUE,,p1,COMPARE,1.0,500.0,0.0,0.0
exp05_descriptor_payload,1,same_payload_store,STORE payload,STORED,STORED,True,p1,STORE,,,,
exp05_descriptor_payload,1,same_payload_compare,STORE payload COMPARE payload,COMPARE_TRUE,COMPARE_TRUE,True,p1,COMPARE,,,,
exp05_descriptor_payload,1,same_descriptor_store_p1,STORE payload,STORED,STORED,True,p1,STORE,,,,
exp05_descriptor_payload,1,same_descriptor_store_p2,STORE payload,STORED,STORED,True,p2,STORE,,,,
exp05_descriptor_payload,1,missing_descriptor,payload,ERROR,ERROR,True,p1,,,,,
exp05_descriptor_payload,1,wrong_content_compare,STORE payload COMPARE payload,COMPARE_FALSE,COMPARE_FALSE,True,p2,COMPARE,,,,
exp05_descriptor_payload,1,descriptor_corruption,STORE payload then corrupted COMPARE payload,,COMPARE_TRUE,,p1,COMPARE,0.0,500.0,1.0,1.0
exp05_descriptor_payload,1,descriptor_corruption,STORE payload then corrupted COMPARE payload,,COMPARE_TRUE,,p1,COMPARE,0.05,500.0,0.966,0.966
exp05_descriptor_payload,1,descriptor_corruption,STORE payload then corrupted COMPARE payload,,COMPARE_TRUE,,p1,COMPARE,0.1,500.0,0.906,0.906
exp05_descriptor_payload,1,descriptor_corruption,STORE payload then corrupted COMPARE payload,,COMPARE_TRUE,,p1,COMPARE,0.2,500.0,0.82,0.82
exp05_descriptor_payload,1,descriptor_corruption,STORE payload then corrupted COMPARE payload,,COMPARE_TRUE,,p1,COMPARE,0.3,500.0,0.668,0.668
exp05_descriptor_payload,1,descriptor_corruption,STORE payload then corrupted COMPARE payload,,COMPARE_TRUE,,p1,COMPARE,0.5,500.0,0.516,0.516
exp05_descriptor_payload,1,descriptor_corruption,STORE payload then corrupted COMPARE payload,,COMPARE_TRUE,,p1,COMPARE,0.75,500.0,0.222,0.222
exp05_descriptor_payload,1,descriptor_corruption,STORE payload then corrupted COMPARE payload,,COMPARE_TRUE,,p1,COMPARE,1.0,500.0,0.0,0.0
exp05_descriptor_payload,2,same_payload_store,STORE payload,STORED,STORED,True,p1,STORE,,,,
exp05_descriptor_payload,2,same_payload_compare,STORE payload COMPARE payload,COMPARE_TRUE,COMPARE_TRUE,True,p1,COMPARE,,,,
exp05_descriptor_payload,2,same_descriptor_store_p1,STORE payload,STORED,STORED,True,p1,STORE,,,,
exp05_descriptor_payload,2,same_descriptor_store_p2,STORE payload,STORED,STORED,True,p2,STORE,,,,
exp05_descriptor_payload,2,missing_descriptor,payload,ERROR,ERROR,True,p1,,,,,
exp05_descriptor_payload,2,wrong_content_compare,STORE payload COMPARE payload,COMPARE_FALSE,COMPARE_FALSE,True,p2,COMPARE,,,,
exp05_descriptor_payload,2,descriptor_corruption,STORE payload then corrupted COMPARE payload,,COMPARE_TRUE,,p1,COMPARE,0.0,500.0,1.0,1.0
exp05_descriptor_payload,2,descriptor_corruption,STORE payload then corrupted COMPARE payload,,COMPARE_TRUE,,p1,COMPARE,0.05,500.0,0.926,0.926
exp05_descriptor_payload,2,descriptor_corruption,STORE payload then corrupted COMPARE payload,,COMPARE_TRUE,,p1,COMPARE,0.1,500.0,0.894,0.894
exp05_descriptor_payload,2,descriptor_corruption,STORE payload then corrupted COMPARE payload,,COMPARE_TRUE,,p1,COMPARE,0.2,500.0,0.81,0.81
exp05_descriptor_payload,2,descriptor_corruption,STORE payload then corrupted COMPARE payload,,COMPARE_TRUE,,p1,COMPARE,0.3,500.0,0.656,0.656
