experiment,seed,grammar_name,alphabet_size,num_dfa_states,num_accept_states,train_max_len,test_max_len,train_num_strings,test_num_strings,transition_coverage_train,transition_coverage_test,regime,feature_mode,feature_dim,hidden_dim,state_dim,input_dim,register_type,output_mode,write_fraction,unwritten_mode,epochs,learning_rate,theoretical_k_delta_05,theoretical_k_delta_01,notes,row_type,split,length,train_string_accuracy,test_string_accuracy,length_generalization_accuracy,accept_accuracy,reject_accuracy,transition_accuracy_teacher_forced,transition_accuracy_autonomous,state_tracking_accuracy,final_state_accuracy,valid_next_symbol_accuracy,extracted_transition_table_accuracy,seen_transition_accuracy,unseen_transition_accuracy,ngram_baseline_accuracy,majority_long_baseline_accuracy,topk_k,topk_fraction,masked_topk_accuracy,random_noise_topk_accuracy,keep_current_topk_accuracy,first_k_95,first_k_99
exp07_structured_grammar_learning,0,tomita_1,2,2,1,12,32,500,1000,1.0,1.0,full_transition_exposure,exact_pair,4,4,256,16,nearest,dense,1.0,random_noise,1,1.0,5,7,Tomita 1: 1*,main,aggregate,nan,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,nan,0.5,0.945,nan,nan,nan,nan,nan,nan,nan
exp07_structured_grammar_learning,0,tomita_1,2,2,1,12,32,500,1000,1.0,1.0,full_transition_exposure,exact_pair,4,4,256,16,nearest,dense,1.0,random_noise,1,1.0,5,7,Tomita 1: 1*,length,by_length,12,nan,1.0,1.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
exp07_structured_grammar_learning,0,tomita_1,2,2,1,12,32,500,1000,1.0,1.0,full_transition_exposure,exact_pair,4,4,256,16,nearest,dense,1.0,random_noise,1,1.0,5,7,Tomita 1: 1*,length,by_length,11,nan,1.0,1.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
exp07_structured_grammar_learning,0,tomita_1,2,2,1,12,32,500,1000,1.0,1.0,full_transition_exposure,exact_pair,4,4,256,16,nearest,dense,1.0,random_noise,1,1.0,5,7,Tomita 1: 1*,length,by_length,7,nan,1.0,1.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
exp07_structured_grammar_learning,0,tomita_1,2,2,1,12,32,500,1000,1.0,1.0,full_transition_exposure,exact_pair,4,4,256,16,nearest,dense,1.0,random_noise,1,1.0,5,7,Tomita 1: 1*,length,by_length,2,nan,1.0,1.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
exp07_structured_grammar_learning,0,tomita_1,2,2,1,12,32,500,1000,1.0,1.0,full_transition_exposure,exact_pair,4,4,256,16,nearest,dense,1.0,random_noise,1,1.0,5,7,Tomita 1: 1*,length,by_length,3,nan,1.0,1.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
exp07_structured_grammar_learning,0,tomita_1,2,2,1,12,32,500,1000,1.0,1.0,full_transition_exposure,exact_pair,4,4,256,16,nearest,dense,1.0,random_noise,1,1.0,5,7,Tomita 1: 1*,length,by_length,10,nan,1.0,1.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
exp07_structured_grammar_learning,0,tomita_1,2,2,1,12,32,500,1000,1.0,1.0,full_transition_exposure,exact_pair,4,4,256,16,nearest,dense,1.0,random_noise,1,1.0,5,7,Tomita 1: 1*,length,by_length,8,nan,1.0,1.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
exp07_structured_grammar_learning,0,tomita_1,2,2,1,12,32,500,1000,1.0,1.0,full_transition_exposure,exact_pair,4,4,256,16,nearest,dense,1.0,random_noise,1,1.0,5,7,Tomita 1: 1*,length,by_length,0,nan,1.0,1.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
exp07_structured_grammar_learning,0,tomita_1,2,2,1,12,32,500,1000,1.0,1.0,full_transition_exposure,exact_pair,4,4,256,16,nearest,dense,1.0,random_noise,1,1.0,5,7,Tomita 1: 1*,length,by_length,6,nan,1.0,1.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
exp07_structured_grammar_learning,0,tomita_1,2,2,1,12,32,500,1000,1.0,1.0,full_transition_exposure,exact_pair,4,4,256,16,nearest,dense,1.0,random_noise,1,1.0,5,7,Tomita 1: 1*,length,by_length,9,nan,1.0,1.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
exp07_structured_grammar_learning,0,tomita_1,2,2,1,12,32,500,1000,1.0,1.0,full_transition_exposure,exact_pair,4,4,256,16,nearest,dense,1.0,random_noise,1,1.0,5,7,Tomita 1: 1*,length,by_length,5,nan,1.0,1.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
exp07_structured_grammar_learning,0,tomita_1,2,2,1,12,32,500,1000,1.0,1.0,full_transition_exposure,exact_pair,4,4,256,16,nearest,dense,1.0,random_noise,1,1.0,5,7,Tomita 1: 1*,length,by_length,1,nan,1.0,1.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
exp07_structured_grammar_learning,0,tomita_1,2,2,1,12,32,500,1000,1.0,1.0,full_transition_exposure,exact_pair,4,4,256,16,nearest,dense,1.0,random_noise,1,1.0,5,7,Tomita 1: 1*,length,by_length,4,nan,1.0,1.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
exp07_structured_grammar_learning,0,tomita_1,2,2,1,12,32,500,1000,1.0,1.0,full_transition_exposure,exact_pair,4,4,256,16,nearest,dense,1.0,random_noise,1,1.0,5,7,Tomita 1: 1*,length,by_length,30,nan,1.0,1.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
exp07_structured_grammar_learning,0,tomita_1,2,2,1,12,32,500,1000,1.0,1.0,full_transition_exposure,exact_pair,4,4,256,16,nearest,dense,1.0,random_noise,1,1.0,5,7,Tomita 1: 1*,length,by_length,27,nan,1.0,1.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
exp07_structured_grammar_learning,0,tomita_1,2,2,1,12,32,500,1000,1.0,1.0,full_transition_exposure,exact_pair,4,4,256,16,nearest,dense,1.0,random_noise,1,1.0,5,7,Tomita 1: 1*,length,by_length,21,nan,1.0,1.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
exp07_structured_grammar_learning,0,tomita_1,2,2,1,12,32,500,1000,1.0,1.0,full_transition_exposure,exact_pair,4,4,256,16,nearest,dense,1.0,random_noise,1,1.0,5,7,Tomita 1: 1*,length,by_length,15,nan,1.0,1.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
exp07_structured_grammar_learning,0,tomita_1,2,2,1,12,32,500,1000,1.0,1.0,full_transition_exposure,exact_pair,4,4,256,16,nearest,dense,1.0,random_noise,1,1.0,5,7,Tomita 1: 1*,length,by_length,18,nan,1.0,1.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
exp07_structured_grammar_learning,0,tomita_1,2,2,1,12,32,500,1000,1.0,1.0,full_transition_exposure,exact_pair,4,4,256,16,nearest,dense,1.0,random_noise,1,1.0,5,7,Tomita 1: 1*,length,by_length,32,nan,1.0,1.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
