row_type,seed,grammar,condition,cleanup,feature_type,state_dim,num_states,feature_dim,episodes,eta,alpha,gamma,lambda,noise_start,noise_end,write_fraction,final_test_accuracy,final_return,state_tracking_accuracy,transition_accuracy,seen_transition_accuracy,unseen_transition_accuracy,episodes_to_80,episodes_to_90,episode,mean_train_return,test_accuracy,avg_td_error,avg_trace_norm,state_id,symbol,seen_in_training,true_next_state,pred_next_state,correct
summary,1,tier_alternating_12,supervised_baseline,nearest,exact_pair,128,4,12,5000,0.005,0.01,0.95,0.8,1.0,0.05,1.0,1.0,1.0,1.0,1.0,1.0,nan,250,250,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
summary,1,tier_alternating_12,state_shaped_rl,nearest,exact_pair,128,4,12,5000,0.005,0.01,0.95,0.8,1.0,0.05,1.0,0.92,4.536,0.864104520312798,0.9166666666666666,0.9166666666666666,nan,500,500,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
summary,1,tier_alternating_12,terminal_rl,nearest,exact_pair,128,4,12,5000,0.005,0.01,0.95,0.8,1.0,0.05,1.0,0.842,0.32,0.09641426664123594,0.16666666666666666,0.16666666666666666,nan,3750,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
summary,1,tier_alternating_12,sparse_terminal_rl,nearest,exact_pair,128,4,12,5000,0.005,0.01,0.95,0.8,1.0,0.05,0.3,0.5,0.128,0.20341407591073812,0.5,0.25,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
summary,1,tier_alternating_12,sparse_terminal_rl,nearest,exact_pair,128,4,12,5000,0.005,0.01,0.95,0.8,1.0,0.05,0.5,0.813,0.184,0.7259202746519169,0.5,0.5833333333333334,nan,4750,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
summary,1,tier_alternating_12,supervised_baseline,nearest,hashed_pair,128,4,32,5000,0.005,0.01,0.95,0.8,1.0,0.05,1.0,0.939,0.872,0.9120732405111577,0.9166666666666666,0.9166666666666666,nan,250,250,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
summary,1,tier_alternating_12,state_shaped_rl,nearest,hashed_pair,128,4,32,5000,0.005,0.01,0.95,0.8,1.0,0.05,1.0,0.857,3.768,0.7819950410070571,0.8333333333333334,0.8333333333333334,nan,250,750,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
summary,1,tier_alternating_12,terminal_rl,nearest,hashed_pair,128,4,32,5000,0.005,0.01,0.95,0.8,1.0,0.05,1.0,0.845,0.328,0.7655922181956895,0.5833333333333334,0.5833333333333334,nan,4750,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
summary,1,tier_alternating_12,supervised_baseline,hopfield,exact_pair,128,4,12,5000,0.005,0.01,0.95,0.8,1.0,0.05,1.0,1.0,1.0,1.0,1.0,1.0,nan,250,250,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
summary,1,tier_alternating_12,state_shaped_rl,hopfield,exact_pair,128,4,12,5000,0.005,0.01,0.95,0.8,1.0,0.05,1.0,0.88,3.336,0.935056265496853,0.9166666666666666,0.9166666666666666,nan,3000,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
