summary_type,register_type,count,transition_accuracy_mean,transition_accuracy_std,transition_accuracy_sem,transition_accuracy_min,transition_accuracy_median,transition_accuracy_max,state_dim,num_states,transition_accuracy,4,8,16,32,64,experiment,seed,num_inputs,input_dim,mean_abs_overlap
overall_by_register_type,hopfield,600.0,0.87423828125,0.2222251810412177,0.00907230502580996,0.140625,1.0,1.0,,,,,,,,,,,,,
overall_by_register_type,nearest,600.0,1.0,0.0,0.0,1.0,1.0,1.0,,,,,,,,,,,,,
by_register_type_state_dim_num_states,hopfield,30.0,1.0,0.0,0.0,1.0,1.0,1.0,64.0,4.0,1.0,,,,,,,,,,
by_register_type_state_dim_num_states,hopfield,30.0,0.9895833333333334,0.057054433073454806,0.010416666666666668,0.6875,1.0,1.0,64.0,8.0,0.9895833333333334,,,,,,,,,,
by_register_type_state_dim_num_states,hopfield,30.0,0.8098958333333334,0.15060287283221424,0.027496196891761894,0.40625,0.82421875,1.0,64.0,16.0,0.8098958333333334,,,,,,,,,,
by_register_type_state_dim_num_states,hopfield,30.0,0.455078125,0.1575035585065126,0.028756083960450547,0.140625,0.423828125,0.8203125,64.0,32.0,0.455078125,,,,,,,,,,
by_register_type_state_dim_num_states,hopfield,30.0,0.3190104166666667,0.07145071704242328,0.013045056491351346,0.15625,0.31640625,0.44921875,64.0,64.0,0.3190104166666667,,,,,,,,,,
by_register_type_state_dim_num_states,hopfield,30.0,1.0,0.0,0.0,1.0,1.0,1.0,128.0,4.0,1.0,,,,,,,,,,
by_register_type_state_dim_num_states,hopfield,30.0,1.0,0.0,0.0,1.0,1.0,1.0,128.0,8.0,1.0,,,,,,,,,,
by_register_type_state_dim_num_states,hopfield,30.0,0.9880208333333333,0.03987481533485147,0.007280111945083687,0.8125,1.0,1.0,128.0,16.0,0.9880208333333333,,,,,,,,,,
by_register_type_state_dim_num_states,hopfield,30.0,0.7430989583333333,0.0994034611716157,0.018148505992594276,0.5,0.755859375,0.921875,128.0,32.0,0.7430989583333333,,,,,,,,,,
by_register_type_state_dim_num_states,hopfield,30.0,0.4927734375,0.10233427698245237,0.01868359730309029,0.2890625,0.5087890625,0.6328125,128.0,64.0,0.4927734375,,,,,,,,,,
by_register_type_state_dim_num_states,hopfield,30.0,1.0,0.0,0.0,1.0,1.0,1.0,256.0,4.0,1.0,,,,,,,,,,
by_register_type_state_dim_num_states,hopfield,30.0,1.0,0.0,0.0,1.0,1.0,1.0,256.0,8.0,1.0,,,,,,,,,,
by_register_type_state_dim_num_states,hopfield,30.0,1.0,0.0,0.0,1.0,1.0,1.0,256.0,16.0,1.0,,,,,,,,,,
by_register_type_state_dim_num_states,hopfield,30.0,0.9975260416666667,0.009428911381308348,0.0017214758187532589,0.9609375,1.0,1.0,256.0,32.0,0.9975260416666667,,,,,,,,,,
by_register_type_state_dim_num_states,hopfield,30.0,0.6902994791666667,0.10562912272956519,0.019285151082821507,0.4765625,0.6826171875,0.861328125,256.0,64.0,0.6902994791666667,,,,,,,,,,
by_register_type_state_dim_num_states,hopfield,30.0,1.0,0.0,0.0,1.0,1.0,1.0,512.0,4.0,1.0,,,,,,,,,,
by_register_type_state_dim_num_states,hopfield,30.0,1.0,0.0,0.0,1.0,1.0,1.0,512.0,8.0,1.0,,,,,,,,,,
by_register_type_state_dim_num_states,hopfield,30.0,1.0,0.0,0.0,1.0,1.0,1.0,512.0,16.0,1.0,,,,,,,,,,
by_register_type_state_dim_num_states,hopfield,30.0,1.0,0.0,0.0,1.0,1.0,1.0,512.0,32.0,1.0,,,,,,,,,,
by_register_type_state_dim_num_states,hopfield,30.0,0.9994791666666667,0.00285272165367274,0.0005208333333333333,0.984375,1.0,1.0,512.0,64.0,0.9994791666666667,,,,,,,,,,
by_register_type_state_dim_num_states,nearest,30.0,1.0,0.0,0.0,1.0,1.0,1.0,64.0,4.0,1.0,,,,,,,,,,
by_register_type_state_dim_num_states,nearest,30.0,1.0,0.0,0.0,1.0,1.0,1.0,64.0,8.0,1.0,,,,,,,,,,
by_register_type_state_dim_num_states,nearest,30.0,1.0,0.0,0.0,1.0,1.0,1.0,64.0,16.0,1.0,,,,,,,,,,
by_register_type_state_dim_num_states,nearest,30.0,1.0,0.0,0.0,1.0,1.0,1.0,64.0,32.0,1.0,,,,,,,,,,
by_register_type_state_dim_num_states,nearest,30.0,1.0,0.0,0.0,1.0,1.0,1.0,64.0,64.0,1.0,,,,,,,,,,
by_register_type_state_dim_num_states,nearest,30.0,1.0,0.0,0.0,1.0,1.0,1.0,128.0,4.0,1.0,,,,,,,,,,
by_register_type_state_dim_num_states,nearest,30.0,1.0,0.0,0.0,1.0,1.0,1.0,128.0,8.0,1.0,,,,,,,,,,
by_register_type_state_dim_num_states,nearest,30.0,1.0,0.0,0.0,1.0,1.0,1.0,128.0,16.0,1.0,,,,,,,,,,
by_register_type_state_dim_num_states,nearest,30.0,1.0,0.0,0.0,1.0,1.0,1.0,128.0,32.0,1.0,,,,,,,,,,
by_register_type_state_dim_num_states,nearest,30.0,1.0,0.0,0.0,1.0,1.0,1.0,128.0,64.0,1.0,,,,,,,,,,
by_register_type_state_dim_num_states,nearest,30.0,1.0,0.0,0.0,1.0,1.0,1.0,256.0,4.0,1.0,,,,,,,,,,
by_register_type_state_dim_num_states,nearest,30.0,1.0,0.0,0.0,1.0,1.0,1.0,256.0,8.0,1.0,,,,,,,,,,
by_register_type_state_dim_num_states,nearest,30.0,1.0,0.0,0.0,1.0,1.0,1.0,256.0,16.0,1.0,,,,,,,,,,
by_register_type_state_dim_num_states,nearest,30.0,1.0,0.0,0.0,1.0,1.0,1.0,256.0,32.0,1.0,,,,,,,,,,
by_register_type_state_dim_num_states,nearest,30.0,1.0,0.0,0.0,1.0,1.0,1.0,256.0,64.0,1.0,,,,,,,,,,
by_register_type_state_dim_num_states,nearest,30.0,1.0,0.0,0.0,1.0,1.0,1.0,512.0,4.0,1.0,,,,,,,,,,
by_register_type_state_dim_num_states,nearest,30.0,1.0,0.0,0.0,1.0,1.0,1.0,512.0,8.0,1.0,,,,,,,,,,
by_register_type_state_dim_num_states,nearest,30.0,1.0,0.0,0.0,1.0,1.0,1.0,512.0,16.0,1.0,,,,,,,,,,
by_register_type_state_dim_num_states,nearest,30.0,1.0,0.0,0.0,1.0,1.0,1.0,512.0,32.0,1.0,,,,,,,,,,
by_register_type_state_dim_num_states,nearest,30.0,1.0,0.0,0.0,1.0,1.0,1.0,512.0,64.0,1.0,,,,,,,,,,
hopfield_state_dim_x_num_states_pivot,,,,,,,,,64.0,,,1.0,0.9895833333333334,0.8098958333333334,0.455078125,0.3190104166666667,,,,,
hopfield_state_dim_x_num_states_pivot,,,,,,,,,128.0,,,1.0,1.0,0.9880208333333333,0.7430989583333333,0.4927734375,,,,,
hopfield_state_dim_x_num_states_pivot,,,,,,,,,256.0,,,1.0,1.0,1.0,0.9975260416666667,0.6902994791666667,,,,,
hopfield_state_dim_x_num_states_pivot,,,,,,,,,512.0,,,1.0,1.0,1.0,1.0,0.9994791666666667,,,,,
worst_hopfield_rows,hopfield,,,,,,,,64.0,32.0,0.140625,,,,,,exp01_transition_accuracy,9.0,8.0,16.0,0.0992313508064516
worst_hopfield_rows,hopfield,,,,,,,,64.0,64.0,0.15625,,,,,,exp01_transition_accuracy,9.0,2.0,16.0,0.0978577628968253
worst_hopfield_rows,hopfield,,,,,,,,64.0,64.0,0.16796875,,,,,,exp01_transition_accuracy,4.0,4.0,16.0,0.0979352678571428
worst_hopfield_rows,hopfield,,,,,,,,64.0,32.0,0.21875,,,,,,exp01_transition_accuracy,9.0,4.0,16.0,0.0987273185483871
worst_hopfield_rows,hopfield,,,,,,,,64.0,64.0,0.234375,,,,,,exp01_transition_accuracy,4.0,2.0,16.0,0.0987103174603174
worst_hopfield_rows,hopfield,,,,,,,,64.0,64.0,0.25,,,,,,exp01_transition_accuracy,5.0,2.0,16.0,0.0988653273809523
worst_hopfield_rows,hopfield,,,,,,,,64.0,64.0,0.25390625,,,,,,exp01_transition_accuracy,7.0,4.0,16.0,0.1030660962301587
worst_hopfield_rows,hopfield,,,,,,,,64.0,64.0,0.265625,,,,,,exp01_transition_accuracy,0.0,8.0,16.0,0.1007564484126984
worst_hopfield_rows,hopfield,,,,,,,,64.0,64.0,0.27734375,,,,,,exp01_transition_accuracy,6.0,8.0,16.0,0.1043526785714285
worst_hopfield_rows,hopfield,,,,,,,,64.0,64.0,0.28125,,,,,,exp01_transition_accuracy,0.0,4.0,16.0,0.1014229910714285
worst_hopfield_rows,hopfield,,,,,,,,64.0,32.0,0.28125,,,,,,exp01_transition_accuracy,1.0,2.0,16.0,0.1032636088709677
worst_hopfield_rows,hopfield,,,,,,,,64.0,64.0,0.28125,,,,,,exp01_transition_accuracy,2.0,2.0,16.0,0.101407490079365
worst_hopfield_rows,hopfield,,,,,,,,64.0,64.0,0.28125,,,,,,exp01_transition_accuracy,4.0,8.0,16.0,0.0979972718253968
worst_hopfield_rows,hopfield,,,,,,,,64.0,64.0,0.28125,,,,,,exp01_transition_accuracy,6.0,2.0,16.0,0.1023530505952381
worst_hopfield_rows,hopfield,,,,,,,,128.0,64.0,0.2890625,,,,,,exp01_transition_accuracy,2.0,2.0,16.0,0.0712735615079365
worst_hopfield_rows,hopfield,,,,,,,,64.0,64.0,0.29296875,,,,,,exp01_transition_accuracy,1.0,8.0,16.0,0.098477802579365
worst_hopfield_rows,hopfield,,,,,,,,128.0,64.0,0.296875,,,,,,exp01_transition_accuracy,3.0,4.0,16.0,0.0707775297619047
worst_hopfield_rows,hopfield,,,,,,,,64.0,64.0,0.302734375,,,,,,exp01_transition_accuracy,5.0,8.0,16.0,0.0993303571428571
worst_hopfield_rows,hopfield,,,,,,,,64.0,64.0,0.30859375,,,,,,exp01_transition_accuracy,9.0,4.0,16.0,0.0980282738095238
worst_hopfield_rows,hopfield,,,,,,,,64.0,64.0,0.3125,,,,,,exp01_transition_accuracy,1.0,2.0,16.0,0.0999658978174603
