summary_type,register_type,count,recovery_accuracy_mean,recovery_accuracy_std,recovery_accuracy_sem,recovery_accuracy_min,recovery_accuracy_median,recovery_accuracy_max,flip_fraction,recovery_accuracy,state_dim,num_states,8,16,32,64,recovery_at_0.00,actual_flip_for_0.00,recovery_at_0.20,actual_flip_for_0.20,recovery_at_0.30,actual_flip_for_0.30,recovery_at_0.40,actual_flip_for_0.40,degradation_0_to_40,experiment,seed,trials_per_state,mean_abs_overlap
overall_by_register_type,hopfield,1440.0,0.6992995876736111,0.3382740683064215,0.00891430441016391,0.0171875,0.8828125,1.0,,,,,,,,,,,,,,,,,,,,,
overall_by_register_type,nearest,1440.0,0.9671994357638888,0.13631230328192498,0.0035921445956210683,0.01015625,1.0,1.0,,,,,,,,,,,,,,,,,,,,,
by_register_type_flip_fraction,hopfield,160.0,0.8443359375,0.24132379528772444,0.019078321167635453,0.15625,1.0,1.0,0.0,0.8443359375,,,,,,,,,,,,,,,,,,,
by_register_type_flip_fraction,hopfield,160.0,0.8265820312500001,0.25569892745463263,0.020214775150469995,0.14375,1.0,1.0,0.05,0.8265820312500001,,,,,,,,,,,,,,,,,,,
by_register_type_flip_fraction,hopfield,160.0,0.8096240234375,0.2705225832170722,0.021386688036959717,0.15546875,1.0,1.0,0.1,0.8096240234375,,,,,,,,,,,,,,,,,,,
by_register_type_flip_fraction,hopfield,160.0,0.7842919921875,0.2932388442716717,0.02318256615834754,0.128125,0.99609375,1.0,0.15,0.7842919921875,,,,,,,,,,,,,,,,,,,
by_register_type_flip_fraction,hopfield,160.0,0.752880859375,0.3142136239587223,0.024840768089130383,0.08828125,0.9800781249999999,1.0,0.2,0.752880859375,,,,,,,,,,,,,,,,,,,
by_register_type_flip_fraction,hopfield,160.0,0.7103662109375,0.33223851538051524,0.026265760875882796,0.08515625,0.921875,1.0,0.25,0.7103662109375,,,,,,,,,,,,,,,,,,,
by_register_type_flip_fraction,hopfield,160.0,0.6390039062499999,0.3472179531028501,0.02744998940766337,0.059375,0.759765625,1.0,0.3,0.6390039062499999,,,,,,,,,,,,,,,,,,,
by_register_type_flip_fraction,hopfield,160.0,0.5372412109375,0.35654916522139707,0.02818768649828271,0.04921875,0.503515625,1.0,0.35,0.5372412109375,,,,,,,,,,,,,,,,,,,
by_register_type_flip_fraction,hopfield,160.0,0.38937011718750003,0.3305810054567045,0.02613472321079344,0.0171875,0.240234375,1.0,0.4,0.38937011718750003,,,,,,,,,,,,,,,,,,,
by_register_type_flip_fraction,nearest,160.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,,,,,,,,,,,,,,,,,,,
by_register_type_flip_fraction,nearest,160.0,1.0,0.0,0.0,1.0,1.0,1.0,0.05,1.0,,,,,,,,,,,,,,,,,,,
by_register_type_flip_fraction,nearest,160.0,1.0,0.0,0.0,1.0,1.0,1.0,0.1,1.0,,,,,,,,,,,,,,,,,,,
by_register_type_flip_fraction,nearest,160.0,1.0,0.0,0.0,1.0,1.0,1.0,0.15,1.0,,,,,,,,,,,,,,,,,,,
by_register_type_flip_fraction,nearest,160.0,1.0,0.0,0.0,1.0,1.0,1.0,0.2,1.0,,,,,,,,,,,,,,,,,,,
