summary_type,register_type,count,recovery_accuracy_mean,recovery_accuracy_std,recovery_accuracy_sem,recovery_accuracy_min,recovery_accuracy_median,recovery_accuracy_max,capacity_ratio,recovery_accuracy,state_dim,0.025,0.05,0.1,0.138,0.2,0.3,0.5,0.75,1.0,target_capacity_ratio,actual_capacity_ratio,hopfield_recovery_accuracy,used_nearest_available,threshold,first_capacity_ratio_below_threshold,experiment,seed,num_states,flip_fraction,mean_abs_overlap
overall_by_register_type,hopfield,450.0,0.7769562739414381,0.2591783019111821,0.012217782321187412,0.1385416666666666,0.8683938419117647,1.0,,,,,,,,,,,,,,,,,,,,,,,
overall_by_register_type,nearest,450.0,1.0,0.0,0.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,
by_register_type_capacity_ratio,hopfield,50.0,1.0,0.0,0.0,1.0,1.0,1.0,0.025,1.0,,,,,,,,,,,,,,,,,,,,,
by_register_type_capacity_ratio,hopfield,50.0,1.0,0.0,0.0,1.0,1.0,1.0,0.05,1.0,,,,,,,,,,,,,,,,,,,,,
by_register_type_capacity_ratio,hopfield,50.0,0.9997133333333333,0.001438079470112216,0.00020337514904030099,0.9916666666666668,1.0,1.0,0.1,0.9997133333333333,,,,,,,,,,,,,,,,,,,,,
by_register_type_capacity_ratio,hopfield,50.0,0.9851980183562787,0.02503472500933832,0.003540444763848716,0.8823529411764706,0.9964285714285714,1.0,0.138,0.9851980183562787,,,,,,,,,,,,,,,,,,,,,
by_register_type_capacity_ratio,hopfield,50.0,0.82424,0.10360087410930077,0.014651376123908079,0.4990196078431372,0.841421568627451,0.9958333333333332,0.2,0.82424,,,,,,,,,,,,,,,,,,,,,
by_register_type_capacity_ratio,hopfield,50.0,0.6564372101374981,0.15958445170067845,0.022568649593897358,0.2894736842105263,0.6532765737874098,0.9017915309446254,0.3,0.6564372101374981,,,,,,,,,,,,,,,,,,,,,
by_register_type_capacity_ratio,hopfield,50.0,0.566826171875,0.1967640281341191,0.02782663571744325,0.1625,0.5427734375,0.8845703125,0.5,0.566826171875,,,,,,,,,,,,,,,,,,,,,
by_register_type_capacity_ratio,hopfield,50.0,0.4939075520833333,0.218404683700137,0.030887086577453978,0.1385416666666666,0.42252604166666663,0.8953125,0.75,0.4939075520833333,,,,,,,,,,,,,,,,,,,,,
by_register_type_capacity_ratio,hopfield,50.0,0.4662841796874999,0.2312451267412773,0.032702999447019966,0.14453125,0.39814453125,0.864892578125,1.0,0.4662841796874999,,,,,,,,,,,,,,,,,,,,,
by_register_type_capacity_ratio,nearest,50.0,1.0,0.0,0.0,1.0,1.0,1.0,0.025,1.0,,,,,,,,,,,,,,,,,,,,,
by_register_type_capacity_ratio,nearest,50.0,1.0,0.0,0.0,1.0,1.0,1.0,0.05,1.0,,,,,,,,,,,,,,,,,,,,,
by_register_type_capacity_ratio,nearest,50.0,1.0,0.0,0.0,1.0,1.0,1.0,0.1,1.0,,,,,,,,,,,,,,,,,,,,,
by_register_type_capacity_ratio,nearest,50.0,1.0,0.0,0.0,1.0,1.0,1.0,0.138,1.0,,,,,,,,,,,,,,,,,,,,,
by_register_type_capacity_ratio,nearest,50.0,1.0,0.0,0.0,1.0,1.0,1.0,0.2,1.0,,,,,,,,,,,,,,,,,,,,,
by_register_type_capacity_ratio,nearest,50.0,1.0,0.0,0.0,1.0,1.0,1.0,0.3,1.0,,,,,,,,,,,,,,,,,,,,,
by_register_type_capacity_ratio,nearest,50.0,1.0,0.0,0.0,1.0,1.0,1.0,0.5,1.0,,,,,,,,,,,,,,,,,,,,,
by_register_type_capacity_ratio,nearest,50.0,1.0,0.0,0.0,1.0,1.0,1.0,0.75,1.0,,,,,,,,,,,,,,,,,,,,,
by_register_type_capacity_ratio,nearest,50.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,
by_register_type_state_dim_capacity_ratio,hopfield,10.0,1.0,0.0,0.0,1.0,1.0,1.0,0.025,1.0,64.0,,,,,,,,,,,,,,,,,,,,
by_register_type_state_dim_capacity_ratio,hopfield,10.0,1.0,0.0,0.0,1.0,1.0,1.0,0.05,1.0,64.0,,,,,,,,,,,,,,,,,,,,
by_register_type_state_dim_capacity_ratio,hopfield,10.0,0.9991666666666668,0.002635231383473605,0.0008333333333333192,0.9916666666666668,1.0,1.0,0.1,0.9991666666666668,64.0,,,,,,,,,,,,,,,,,,,,
by_register_type_state_dim_capacity_ratio,hopfield,10.0,0.98125,0.02716334335501103,0.008589803386703457,0.925,1.0,1.0,0.138,0.98125,64.0,,,,,,,,,,,,,,,,,,,,
by_register_type_state_dim_capacity_ratio,hopfield,10.0,0.8841666666666667,0.11267647338429165,0.03563142946097025,0.6291666666666667,0.90625,0.9958333333333332,0.2,0.8841666666666667,64.0,,,,,,,,,,,,,,,,,,,,
by_register_type_state_dim_capacity_ratio,hopfield,10.0,0.5565789473684211,0.16794637970903542,0.05310930846600387,0.2894736842105263,0.5539473684210526,0.7973684210526316,0.3,0.5565789473684211,64.0,,,,,,,,,,,,,,,,,,,,
by_register_type_state_dim_capacity_ratio,hopfield,10.0,0.39484375,0.15196029912013387,0.048054065914010395,0.1625,0.4171875,0.6046875,0.5,0.39484375,64.0,,,,,,,,,,,,,,,,,,,,
by_register_type_state_dim_capacity_ratio,hopfield,10.0,0.27208333333333334,0.06055380349147321,0.019148794001931174,0.1385416666666666,0.2791666666666667,0.3541666666666667,0.75,0.27208333333333334,64.0,,,,,,,,,,,,,,,,,,,,
by_register_type_state_dim_capacity_ratio,hopfield,10.0,0.22132812500000001,0.045855596510532996,0.014500812843895358,0.14453125,0.22578125,0.3015625,1.0,0.22132812500000001,64.0,,,,,,,,,,,,,,,,,,,,
by_register_type_state_dim_capacity_ratio,hopfield,10.0,1.0,0.0,0.0,1.0,1.0,1.0,0.025,1.0,128.0,,,,,,,,,,,,,,,,,,,,
by_register_type_state_dim_capacity_ratio,hopfield,10.0,1.0,0.0,0.0,1.0,1.0,1.0,0.05,1.0,128.0,,,,,,,,,,,,,,,,,,,,
by_register_type_state_dim_capacity_ratio,hopfield,10.0,1.0,0.0,0.0,1.0,1.0,1.0,0.1,1.0,128.0,,,,,,,,,,,,,,,,,,,,
by_register_type_state_dim_capacity_ratio,hopfield,10.0,0.976470588235294,0.03534854191631363,0.011178190442148414,0.8823529411764706,0.9882352941176472,1.0,0.138,0.976470588235294,128.0,,,,,,,,,,,,,,,,,,,,
by_register_type_state_dim_capacity_ratio,hopfield,10.0,0.8211999999999999,0.11692808806175603,0.03697590807238921,0.526,0.837,0.944,0.2,0.8211999999999999,128.0,,,,,,,,,,,,,,,,,,,,
by_register_type_state_dim_capacity_ratio,hopfield,10.0,0.5430263157894737,0.1423231084185017,0.04500651862775501,0.3368421052631579,0.5223684210526316,0.8092105263157895,0.3,0.5430263157894737,128.0,,,,,,,,,,,,,,,,,,,,
by_register_type_state_dim_capacity_ratio,hopfield,10.0,0.40203125,0.036782782524950146,0.011631737145748168,0.3484375,0.410546875,0.45078125,0.5,0.40203125,128.0,,,,,,,,,,,,,,,,,,,,
by_register_type_state_dim_capacity_ratio,hopfield,10.0,0.3265625,0.06287551158886687,0.019882982566913173,0.2088541666666666,0.34739583333333335,0.3921875,0.75,0.3265625,128.0,,,,,,,,,,,,,,,,,,,,
by_register_type_state_dim_capacity_ratio,hopfield,10.0,0.29296875,0.0681451255631746,0.02154938082177962,0.17265625,0.30156249999999996,0.38984375,1.0,0.29296875,128.0,,,,,,,,,,,,,,,,,,,,
by_register_type_state_dim_capacity_ratio,hopfield,10.0,1.0,0.0,0.0,1.0,1.0,1.0,0.025,1.0,256.0,,,,,,,,,,,,,,,,,,,,
by_register_type_state_dim_capacity_ratio,hopfield,10.0,1.0,0.0,0.0,1.0,1.0,1.0,0.05,1.0,256.0,,,,,,,,,,,,,,,,,,,,
by_register_type_state_dim_capacity_ratio,hopfield,10.0,0.9994,0.0018973665961010292,0.0006000000000000005,0.994,1.0,1.0,0.1,0.9994,256.0,,,,,,,,,,,,,,,,,,,,
by_register_type_state_dim_capacity_ratio,hopfield,10.0,0.9762857142857142,0.03022365609510377,0.009557559247815851,0.9042857142857142,0.985,1.0,0.138,0.9762857142857142,256.0,,,,,,,,,,,,,,,,,,,,
by_register_type_state_dim_capacity_ratio,hopfield,10.0,0.7733333333333333,0.1222631087461101,0.038662989745056116,0.4990196078431372,0.8343137254901961,0.9117647058823528,0.2,0.7733333333333333,256.0,,,,,,,,,,,,,,,,,,,,
by_register_type_state_dim_capacity_ratio,hopfield,10.0,0.6307236842105264,0.09410989451330953,0.029760161702024144,0.5190789473684211,0.6105263157894737,0.8157894736842105,0.3,0.6307236842105264,256.0,,,,,,,,,,,,,,,,,,,,
by_register_type_state_dim_capacity_ratio,hopfield,10.0,0.508046875,0.08619598908972652,0.027257565069455952,0.346875,0.5054687499999999,0.63984375,0.5,0.508046875,256.0,,,,,,,,,,,,,,,,,,,,
by_register_type_state_dim_capacity_ratio,hopfield,10.0,0.41687499999999994,0.07418425327279353,0.023459120686082795,0.2731770833333333,0.42252604166666663,0.5078125,0.75,0.41687499999999994,256.0,,,,,,,,,,,,,,,,,,,,
by_register_type_state_dim_capacity_ratio,hopfield,10.0,0.39638671875,0.06100842296487981,0.019292557302394292,0.3154296875,0.3919921875,0.5017578125,1.0,0.39638671875,256.0,,,,,,,,,,,,,,,,,,,,
