summary_type,register_type,count,sparse_transition_accuracy_mean,sparse_transition_accuracy_std,sparse_transition_accuracy_sem,sparse_transition_accuracy_min,sparse_transition_accuracy_median,sparse_transition_accuracy_max,mode,write_fraction,sparse_transition_accuracy,state_dim,threshold,first_write_fraction_reaching_threshold,random_noise_mean,keep_current_mean,random_noise_minus_keep_current,0.05,0.1,0.15,0.2,0.3,0.4,0.5,0.75,1.0,experiment,seed,num_states,num_inputs,input_dim,mean_abs_overlap
overall_by_register_type,hopfield,1620.0,0.4847608024691358,0.399246845535326,0.009919367626881637,0.0078125,0.359375,1.0,,,,,,,,,,,,,,,,,,,,,,,,
overall_by_register_type,nearest,1620.0,0.5721450617283951,0.4151071280465947,0.010313419513965503,0.0078125,0.625,1.0,,,,,,,,,,,,,,,,,,,,,,,,
by_register_type_mode,hopfield,810.0,0.3150848765432099,0.36746070419758936,0.012911253065264198,0.0078125,0.125,1.0,keep_current,,,,,,,,,,,,,,,,,,,,,,,
by_register_type_mode,hopfield,810.0,0.6544367283950617,0.355407843748621,0.012487758717054202,0.015625,0.78125,1.0,random_noise,,,,,,,,,,,,,,,,,,,,,,,
by_register_type_mode,nearest,810.0,0.33448109567901235,0.3864469518891014,0.013578361808878553,0.0078125,0.125,1.0,keep_current,,,,,,,,,,,,,,,,,,,,,,,
by_register_type_mode,nearest,810.0,0.8098090277777777,0.28703944696432476,0.01008553811913745,0.0546875,1.0,1.0,random_noise,,,,,,,,,,,,,,,,,,,,,,,
by_register_type_mode_write_fraction,hopfield,90.0,0.07734375,0.05246734893750107,0.005530544181110626,0.0078125,0.0625,0.1875,keep_current,0.05,0.07734375,,,,,,,,,,,,,,,,,,,,,
by_register_type_mode_write_fraction,hopfield,90.0,0.07769097222222222,0.052156798024358374,0.005497809240611425,0.0078125,0.0625,0.1875,keep_current,0.1,0.07769097222222222,,,,,,,,,,,,,,,,,,,,,
by_register_type_mode_write_fraction,hopfield,90.0,0.07769097222222222,0.052248757075822584,0.005507502575747943,0.0078125,0.0625,0.1875,keep_current,0.15,0.07769097222222222,,,,,,,,,,,,,,,,,,,,,
by_register_type_mode_write_fraction,hopfield,90.0,0.07890625,0.051570878405097144,0.00543604788985662,0.0078125,0.0625,0.1875,keep_current,0.2,0.07890625,,,,,,,,,,,,,,,,,,,,,
