summary_type,feature_mode,register_type,count,all_transition_accuracy_mean,all_transition_accuracy_std,all_transition_accuracy_sem,all_transition_accuracy_min,all_transition_accuracy_median,all_transition_accuracy_max,hidden_dim,epochs,all_transition_accuracy,unwritten_mode,write_fraction,coverage_fraction,seen_transition_accuracy_mean,seen_transition_accuracy_std,seen_transition_accuracy_sem,seen_transition_accuracy_min,seen_transition_accuracy_median,seen_transition_accuracy_max,seen_transition_accuracy,unseen_transition_accuracy_mean,unseen_transition_accuracy_std,unseen_transition_accuracy_sem,unseen_transition_accuracy_min,unseen_transition_accuracy_median,unseen_transition_accuracy_max,unseen_transition_accuracy
overall_by_feature_mode_register_type,exact_pair,hopfield,6600,0.7368448153409091,0.340774477173291,0.004194643848296297,0.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,
overall_by_feature_mode_register_type,exact_pair,nearest,6600,0.7994069602272728,0.34305311015886625,0.004222691881455212,0.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,
overall_by_feature_mode_register_type,hashed_pair,hopfield,30240,0.5621745437541336,0.34179985724273104,0.00196553591392785,0.0,0.625,1.0,,,,,,,,,,,,,,,,,,,,
overall_by_feature_mode_register_type,hashed_pair,nearest,30240,0.6214686156580688,0.33254823266220407,0.0019123340181696267,0.0,0.75,1.0,,,,,,,,,,,,,,,,,,,,
overall_by_feature_mode_register_type,random_conjunctive,hopfield,25200,0.30818599640376987,0.3418900454876779,0.0021537048478308483,0.0,0.15625,1.0,,,,,,,,,,,,,,,,,,,,
overall_by_feature_mode_register_type,random_conjunctive,nearest,25200,0.39571676587301585,0.37149115171818825,0.0023401742897792652,0.0,0.234375,1.0,,,,,,,,,,,,,,,,,,,,
learning_curve_by_feature_mode_hidden_dim_register_type_epoch,exact_pair,hopfield,60,0.10833333333333334,0.07265641611213622,0.00937990298658066,0.0,0.125,0.25,16.0,0.0,0.10833333333333334,,,,,,,,,,,,,,,,,
learning_curve_by_feature_mode_hidden_dim_register_type_epoch,exact_pair,hopfield,60,1.0,0.0,0.0,1.0,1.0,1.0,16.0,1.0,1.0,,,,,,,,,,,,,,,,,
learning_curve_by_feature_mode_hidden_dim_register_type_epoch,exact_pair,hopfield,60,1.0,0.0,0.0,1.0,1.0,1.0,16.0,2.0,1.0,,,,,,,,,,,,,,,,,
learning_curve_by_feature_mode_hidden_dim_register_type_epoch,exact_pair,hopfield,60,1.0,0.0,0.0,1.0,1.0,1.0,16.0,5.0,1.0,,,,,,,,,,,,,,,,,
learning_curve_by_feature_mode_hidden_dim_register_type_epoch,exact_pair,hopfield,60,1.0,0.0,0.0,1.0,1.0,1.0,16.0,10.0,1.0,,,,,,,,,,,,,,,,,
learning_curve_by_feature_mode_hidden_dim_register_type_epoch,exact_pair,hopfield,60,1.0,0.0,0.0,1.0,1.0,1.0,16.0,20.0,1.0,,,,,,,,,,,,,,,,,
learning_curve_by_feature_mode_hidden_dim_register_type_epoch,exact_pair,hopfield,150,0.7283333333333334,0.2676240330062037,0.02185141079236542,0.25,0.75,1.0,16.0,50.0,0.7283333333333334,,,,,,,,,,,,,,,,,
learning_curve_by_feature_mode_hidden_dim_register_type_epoch,exact_pair,nearest,60,0.10625,0.06121561643008469,0.007902902098717971,0.0,0.09375,0.25,16.0,0.0,0.10625,,,,,,,,,,,,,,,,,
learning_curve_by_feature_mode_hidden_dim_register_type_epoch,exact_pair,nearest,60,1.0,0.0,0.0,1.0,1.0,1.0,16.0,1.0,1.0,,,,,,,,,,,,,,,,,
learning_curve_by_feature_mode_hidden_dim_register_type_epoch,exact_pair,nearest,60,1.0,0.0,0.0,1.0,1.0,1.0,16.0,2.0,1.0,,,,,,,,,,,,,,,,,
learning_curve_by_feature_mode_hidden_dim_register_type_epoch,exact_pair,nearest,60,1.0,0.0,0.0,1.0,1.0,1.0,16.0,5.0,1.0,,,,,,,,,,,,,,,,,
learning_curve_by_feature_mode_hidden_dim_register_type_epoch,exact_pair,nearest,60,1.0,0.0,0.0,1.0,1.0,1.0,16.0,10.0,1.0,,,,,,,,,,,,,,,,,
learning_curve_by_feature_mode_hidden_dim_register_type_epoch,exact_pair,nearest,60,1.0,0.0,0.0,1.0,1.0,1.0,16.0,20.0,1.0,,,,,,,,,,,,,,,,,
learning_curve_by_feature_mode_hidden_dim_register_type_epoch,exact_pair,nearest,150,0.7291666666666666,0.26729860804219974,0.021824839955319645,0.25,0.75,1.0,16.0,50.0,0.7291666666666666,,,,,,,,,,,,,,,,,
learning_curve_by_feature_mode_hidden_dim_register_type_epoch,exact_pair,hopfield,120,0.0921875,0.05712869933593033,0.005215112884536574,0.0,0.0625,0.28125,32.0,0.0,0.0921875,,,,,,,,,,,,,,,,,
learning_curve_by_feature_mode_hidden_dim_register_type_epoch,exact_pair,hopfield,120,1.0,0.0,0.0,1.0,1.0,1.0,32.0,1.0,1.0,,,,,,,,,,,,,,,,,
learning_curve_by_feature_mode_hidden_dim_register_type_epoch,exact_pair,hopfield,120,1.0,0.0,0.0,1.0,1.0,1.0,32.0,2.0,1.0,,,,,,,,,,,,,,,,,
learning_curve_by_feature_mode_hidden_dim_register_type_epoch,exact_pair,hopfield,120,1.0,0.0,0.0,1.0,1.0,1.0,32.0,5.0,1.0,,,,,,,,,,,,,,,,,
learning_curve_by_feature_mode_hidden_dim_register_type_epoch,exact_pair,hopfield,120,1.0,0.0,0.0,1.0,1.0,1.0,32.0,10.0,1.0,,,,,,,,,,,,,,,,,
learning_curve_by_feature_mode_hidden_dim_register_type_epoch,exact_pair,hopfield,120,1.0,0.0,0.0,1.0,1.0,1.0,32.0,20.0,1.0,,,,,,,,,,,,,,,,,
learning_curve_by_feature_mode_hidden_dim_register_type_epoch,exact_pair,hopfield,300,0.7247916666666666,0.26828016279576333,0.015489162420837057,0.25,0.75,1.0,32.0,50.0,0.7247916666666666,,,,,,,,,,,,,,,,,
learning_curve_by_feature_mode_hidden_dim_register_type_epoch,exact_pair,nearest,120,0.08645833333333333,0.05199747825710435,0.00474669862913341,0.0,0.09375,0.1875,32.0,0.0,0.08645833333333333,,,,,,,,,,,,,,,,,
learning_curve_by_feature_mode_hidden_dim_register_type_epoch,exact_pair,nearest,120,1.0,0.0,0.0,1.0,1.0,1.0,32.0,1.0,1.0,,,,,,,,,,,,,,,,,
learning_curve_by_feature_mode_hidden_dim_register_type_epoch,exact_pair,nearest,120,1.0,0.0,0.0,1.0,1.0,1.0,32.0,2.0,1.0,,,,,,,,,,,,,,,,,
learning_curve_by_feature_mode_hidden_dim_register_type_epoch,exact_pair,nearest,120,1.0,0.0,0.0,1.0,1.0,1.0,32.0,5.0,1.0,,,,,,,,,,,,,,,,,
learning_curve_by_feature_mode_hidden_dim_register_type_epoch,exact_pair,nearest,120,1.0,0.0,0.0,1.0,1.0,1.0,32.0,10.0,1.0,,,,,,,,,,,,,,,,,
learning_curve_by_feature_mode_hidden_dim_register_type_epoch,exact_pair,nearest,120,1.0,0.0,0.0,1.0,1.0,1.0,32.0,20.0,1.0,,,,,,,,,,,,,,,,,
learning_curve_by_feature_mode_hidden_dim_register_type_epoch,exact_pair,nearest,300,0.7271875,0.267489765631901,0.015443528819304794,0.25,0.75,1.0,32.0,50.0,0.7271875,,,,,,,,,,,,,,,,,
learning_curve_by_feature_mode_hidden_dim_register_type_epoch,exact_pair,hopfield,180,0.06753472222222222,0.04687952595571997,0.003494193559665188,0.0,0.046875,0.234375,64.0,0.0,0.06753472222222222,,,,,,,,,,,,,,,,,
learning_curve_by_feature_mode_hidden_dim_register_type_epoch,exact_pair,hopfield,180,0.9713541666666666,0.08399718847133746,0.00626078077802574,0.578125,1.0,1.0,64.0,1.0,0.9713541666666666,,,,,,,,,,,,,,,,,
learning_curve_by_feature_mode_hidden_dim_register_type_epoch,exact_pair,hopfield,180,0.9713541666666666,0.08399718847133746,0.00626078077802574,0.578125,1.0,1.0,64.0,2.0,0.9713541666666666,,,,,,,,,,,,,,,,,
learning_curve_by_feature_mode_hidden_dim_register_type_epoch,exact_pair,hopfield,180,0.9713541666666666,0.08399718847133746,0.00626078077802574,0.578125,1.0,1.0,64.0,5.0,0.9713541666666666,,,,,,,,,,,,,,,,,
learning_curve_by_feature_mode_hidden_dim_register_type_epoch,exact_pair,hopfield,180,0.9713541666666666,0.08399718847133746,0.00626078077802574,0.578125,1.0,1.0,64.0,10.0,0.9713541666666666,,,,,,,,,,,,,,,,,
learning_curve_by_feature_mode_hidden_dim_register_type_epoch,exact_pair,hopfield,180,0.9713541666666666,0.08399718847133746,0.00626078077802574,0.578125,1.0,1.0,64.0,20.0,0.9713541666666666,,,,,,,,,,,,,,,,,
learning_curve_by_feature_mode_hidden_dim_register_type_epoch,exact_pair,hopfield,690,0.7356884057971015,0.3050134640839501,0.01161166413022593,0.015625,0.8125,1.0,64.0,50.0,0.7356884057971015,,,,,,,,,,,,,,,,,
learning_curve_by_feature_mode_hidden_dim_register_type_epoch,exact_pair,nearest,180,0.07326388888888889,0.04441855284391154,0.0033107634540384266,0.0,0.0625,0.1875,64.0,0.0,0.07326388888888889,,,,,,,,,,,,,,,,,
learning_curve_by_feature_mode_hidden_dim_register_type_epoch,exact_pair,nearest,180,1.0,0.0,0.0,1.0,1.0,1.0,64.0,1.0,1.0,,,,,,,,,,,,,,,,,
learning_curve_by_feature_mode_hidden_dim_register_type_epoch,exact_pair,nearest,180,1.0,0.0,0.0,1.0,1.0,1.0,64.0,2.0,1.0,,,,,,,,,,,,,,,,,
learning_curve_by_feature_mode_hidden_dim_register_type_epoch,exact_pair,nearest,180,1.0,0.0,0.0,1.0,1.0,1.0,64.0,5.0,1.0,,,,,,,,,,,,,,,,,
