summary_type,condition,cleanup,feature_type,count,final_test_accuracy_mean,final_test_accuracy_std,final_test_accuracy_sem,final_test_accuracy_min,final_test_accuracy_median,final_test_accuracy_max,final_test_accuracy,grammar,state_tracking_accuracy_mean,state_tracking_accuracy_std,state_tracking_accuracy_sem,state_tracking_accuracy_min,state_tracking_accuracy_median,state_tracking_accuracy_max,state_tracking_accuracy,transition_accuracy_mean,transition_accuracy_std,transition_accuracy_sem,transition_accuracy_min,transition_accuracy_median,transition_accuracy_max,transition_accuracy,seen_transition_accuracy_mean,seen_transition_accuracy_std,seen_transition_accuracy_sem,seen_transition_accuracy_min,seen_transition_accuracy_median,seen_transition_accuracy_max,seen_transition_accuracy,unseen_transition_accuracy_mean,unseen_transition_accuracy_std,unseen_transition_accuracy_sem,unseen_transition_accuracy_min,unseen_transition_accuracy_median,unseen_transition_accuracy_max,unseen_transition_accuracy,write_fraction,episode,test_accuracy_mean,test_accuracy_std,test_accuracy_sem,test_accuracy_min,test_accuracy_median,test_accuracy_max,test_accuracy,seen_in_training,correct_float_mean,correct_float_std,correct_float_sem,correct_float_min,correct_float_median,correct_float_max,correct_float
final_accuracy_by_condition,sparse_terminal_rl,hopfield,exact_pair,70,0.6235857142857142,0.2000678502920869,0.02391268184771327,0.364,0.5,1.0,0.6235857142857142,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
final_accuracy_by_condition,sparse_terminal_rl,nearest,exact_pair,70,0.621157142857143,0.19228546379256367,0.022982508748400476,0.383,0.516,1.0,0.621157142857143,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
final_accuracy_by_condition,state_shaped_rl,hopfield,exact_pair,35,0.8298000000000001,0.21042475251402395,0.03556827497748449,0.373,0.988,1.0,0.8298000000000001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
final_accuracy_by_condition,state_shaped_rl,hopfield,hashed_pair,35,0.8075142857142856,0.22652157038290965,0.038289133799380246,0.369,0.884,1.0,0.8075142857142856,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
final_accuracy_by_condition,state_shaped_rl,nearest,exact_pair,35,0.8324857142857143,0.21936852841851356,0.03708004902928805,0.453,0.997,1.0,0.8324857142857143,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
final_accuracy_by_condition,state_shaped_rl,nearest,hashed_pair,35,0.7586571428571429,0.21842146830182707,0.036919966651867794,0.373,0.832,1.0,0.7586571428571429,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
final_accuracy_by_condition,supervised_baseline,hopfield,exact_pair,35,0.9996571428571428,0.0020283702113484416,0.0003428571428571432,0.988,1.0,1.0,0.9996571428571428,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
final_accuracy_by_condition,supervised_baseline,hopfield,hashed_pair,35,0.8386571428571428,0.19970639373209612,0.033756541671833874,0.287,0.934,1.0,0.8386571428571428,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
final_accuracy_by_condition,supervised_baseline,nearest,exact_pair,35,0.9999428571428572,0.00023550410797680297,3.98074597725278e-05,0.999,1.0,1.0,0.9999428571428572,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
final_accuracy_by_condition,supervised_baseline,nearest,hashed_pair,35,0.8612857142857142,0.18873660005860196,0.031902308112504364,0.493,1.0,1.0,0.8612857142857142,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
final_accuracy_by_condition,terminal_rl,hopfield,exact_pair,35,0.6711714285714286,0.1964808755420779,0.03321132958743425,0.337,0.591,1.0,0.6711714285714286,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
final_accuracy_by_condition,terminal_rl,hopfield,hashed_pair,35,0.6217142857142858,0.17837659623401725,0.030151147850234074,0.362,0.518,1.0,0.6217142857142858,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
final_accuracy_by_condition,terminal_rl,nearest,exact_pair,35,0.6740857142857144,0.20258380566898168,0.03424291306004697,0.487,0.54,1.0,0.6740857142857144,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
